periodFullName,isProcessed,fileName,Velocity_Band_6_Total_Duration,Velocity_Band_6_Total_Distance,Velocity_Band_5_Total_Duration,Velocity_Band_5_Total_Distance,Velocity_Band_4_Total_Duration,Velocity_Band_4_Total_Distance,Velocity_Band_3_Total_Duration,Velocity_Band_3_Total_Distance,Velocity_Band_2_Total_Duration,Velocity_Band_2_Total_Distance,Velocity_Band_1_Total_Duration,Velocity_Band_1_Total_Distance,Veld_grootte,Total_Duration,Total_Distance,Team_id,TableRow_skey,Start_Time,Soort_training,Session_Count,Remark3,Remark2,Remark,Player_id,Period_Number,Period_Name,Mean_Heart_Rate,Maximum_Velocity,Maximum_Heart_Rate,LoadDateTime,IMA_Jump_Count_Med_Band,IMA_Jump_Count_Low_Band,IMA_Jump_Count_High_Band,IMA_Dive_Intensity_Band_8_Right_Count,IMA_Dive_Intensity_Band_8_Left_Count,IMA_Dive_Intensity_Band_7_Right_Count,IMA_Dive_Intensity_Band_7_Left_Count,IMA_Dive_Intensity_Band_6_Right_Count,IMA_Dive_Intensity_Band_6_Left_Count,IMA_Dive_Intensity_Band_5_Right_Count,IMA_Dive_Intensity_Band_5_Left_Count,IMA_Dive_Intensity_Band_4_Right_Count,IMA_Dive_Intensity_Band_4_Left_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Right_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Left_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Right_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Left_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Right_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Left_Count,Heart_Rate_Index,Heart_Rate_Band_6_Total_Duration,Heart_Rate_Band_5_Total_Duration,Heart_Rate_Band_4_Total_Duration,Heart_Rate_Band_3_Total_Duration,Heart_Rate_Band_2_Total_Duration,Heart_Rate_Band_1_Total_Duration,Field_Time,ExcludeHR,Exclude,End_Time,Date,Bench_Time,AM_PM
Dorene,true,Andalax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,279,686,7692,20,1d949f7b-2009-4ce3-83a1-eaa4c5869601,14:44:11,Shoes,83,6,1,8,1899,677,afwerken,81,985,161,8:58:49,43,66,58,70,53,19,17,2,74,4,6,54,81,90,85,17,56,75,70,78,79,6,92,83,11,67,14,9,25,58,8,83,71,15,62,3,83,91,6,20,100,77,97,5,19:03:41,false,false,5:10:49,6/5/2018,546,PM
Rudyard,true,Solarbreeze,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,987,366,9705,40,d5e340f2-79dc-44fb-aca2-f9823c989abe,15:55:13,Computers,7,22,18,13,7,659,duels,98,464,196,0:44:12,19,57,93,68,50,79,80,50,75,32,38,88,46,52,14,43,88,56,44,55,94,30,31,68,35,32,69,1,35,99,88,88,25,74,90,62,39,86,96,79,58,44,47,42,10:50:21,false,false,0:19:21,7/15/2010,196,PM
Yolande,true,Stim,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,232,677,7721,50,7875e0d1-383b-46de-a5ee-2d16a5ad88be,0:36:30,Outdoors,83,8,21,12,1895,991,7,140,843,194,12:47:32,4,68,78,43,14,18,93,68,21,79,62,73,1,94,70,47,40,3,66,80,40,92,21,87,56,33,65,99,26,75,50,80,4,27,57,5,70,92,34,82,69,77,52,74,23:30:04,true,true,10:51:45,9/5/2015,606,AM
Hollis,true,Bytecard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,811,380,4020,14,3bedf4a7-b506-455d-9c8c-5f13d3d547b4,16:18:55,Beauty,30,18,13,1,1396,675,5,102,187,150,2:13:10,81,15,40,87,13,42,81,91,20,96,28,51,80,4,24,79,76,42,37,16,48,56,78,81,72,84,84,61,71,59,40,89,5,73,6,86,63,21,11,2,32,54,21,29,10:51:51,false,true,15:17:51,9/30/2019,475,PM
Teddie,false,Quo Lux,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,900,817,6093,7,66f0e7b1-95b7-4c45-b617-61cc996eda70,8:10:54,Computers,62,9,14,7,632,187,6,93,52,208,14:40:57,54,58,40,71,48,52,32,87,67,16,80,73,85,53,45,55,95,12,28,58,21,71,28,49,8,98,1,7,65,67,21,71,93,81,22,79,74,16,36,57,32,44,2,71,20:37:37,false,false,20:16:45,4/12/2011,583,AM
Nels,false,Duobam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,539,677,9551,38,f1d384fb-4fdb-4302-8183-8fdab6e92138,11:45:28,Home,3,10,4,1,66,856,5,120,681,207,21:55:37,30,16,4,59,67,72,63,88,43,40,46,80,41,56,57,77,39,93,91,86,41,74,61,21,48,44,65,40,82,68,69,98,11,15,66,3,13,30,7,97,19,99,73,17,18:43:40,true,false,6:53:05,8/28/2018,23,AM
Anni,false,Cardguard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,220,241,6194,18,b6bb5ba3-cef5-457a-bfd5-8d96be321cb4,12:15:34,Games,98,1,15,21,586,178,7,141,956,82,11:31:53,5,32,74,18,81,46,89,17,52,16,6,31,72,37,52,49,61,10,5,45,60,57,4,22,96,31,72,58,73,81,80,60,48,42,87,95,26,25,81,74,32,63,51,68,9:48:44,true,true,5:32:45,3/15/2014,642,PM
Doretta,false,Wrapsafe,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,592,738,9619,38,38794bd5-259d-4d4e-a20d-f035dc4ece35,5:37:02,Grocery,23,17,10,12,761,237,partijspel,133,513,106,0:28:59,63,57,59,9,66,55,63,12,34,94,71,63,99,43,83,40,85,23,58,58,18,51,84,31,11,99,43,73,97,88,56,93,52,31,81,54,79,84,24,5,75,72,36,84,9:31:43,false,false,18:44:41,9/24/2019,66,PM
Kenneth,false,Lotstring,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,755,70,9477,15,b81f1528-1ebf-47de-9a67-d1d80d9f662c,12:18:34,Garden,25,23,18,11,1685,192,5,133,407,106,9:31:26,40,68,88,69,65,89,68,65,73,21,83,24,81,80,32,73,12,2,56,87,35,88,44,28,43,67,91,26,45,3,93,13,49,40,57,70,51,73,40,54,16,29,69,45,17:31:48,true,true,8:52:07,12/18/2015,123,AM
Ursulina,true,Zamit,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,655,135,6839,11,0e614673-472e-4228-8595-038b8bf89b22,13:07:50,Clothing,63,16,22,1,774,910,6,95,748,214,0:09:08,55,58,82,43,99,38,43,47,71,78,85,72,61,78,91,81,58,72,60,55,45,89,56,15,51,28,85,69,25,52,9,68,61,60,63,73,55,2,87,32,91,59,73,46,15:22:50,true,false,3:42:28,11/5/2014,101,AM
Ileane,false,Y-find,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,53,205,8810,29,4a251d2c-f9bf-4a3e-90fa-ef5df7615f29,6:45:06,Games,13,7,13,5,744,779,partijspel,154,929,161,9:23:56,85,13,6,81,15,9,94,90,58,30,10,78,30,11,78,4,18,22,45,53,4,77,54,76,47,82,63,37,2,70,26,97,7,28,14,79,40,32,62,78,15,42,17,73,21:44:02,false,false,17:37:21,7/17/2013,485,PM
Cherilyn,false,Bigtax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,463,796,3563,31,07a3854c-08e7-4d87-be98-556dd4000ed4,11:59:31,Grocery,24,14,3,1,65,78,duels,84,761,143,10:04:06,9,46,93,24,27,70,4,67,33,84,2,51,27,78,6,11,18,82,26,65,99,41,64,87,93,82,27,69,35,37,26,92,95,90,100,98,50,18,42,30,64,1,83,17,16:14:02,true,true,14:30:48,8/10/2014,287,PM
Natalee,true,Fixflex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,660,74,7156,10,2eebe3aa-86b3-486a-89de-b34d00c5dbc4,16:28:08,Outdoors,22,6,13,22,1268,311,4,83,773,110,20:49:53,3,61,69,25,36,35,54,43,2,32,56,77,77,61,3,47,78,46,86,97,43,19,32,45,13,96,59,36,78,79,35,25,62,4,13,27,55,29,54,85,25,46,51,10,22:45:33,false,true,23:25:29,6/24/2015,899,AM
Meagan,true,Duobam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,26,389,3857,40,55f04615-a1d6-4784-8751-5ce23be9eba5,13:01:52,Home,28,15,9,10,5,50,positiespel,104,82,215,3:17:06,90,47,31,27,17,13,13,18,37,3,41,53,21,17,100,4,81,21,13,98,44,35,75,83,94,56,30,17,59,4,100,67,42,28,16,41,77,46,38,35,91,53,44,56,10:24:47,true,true,8:26:23,10/6/2014,263,PM
Jarrid,true,Cardguard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,801,616,309,30,31aad34b-d5f7-402a-8787-cb199a420803,0:41:32,Music,43,18,24,18,165,635,5,133,682,117,11:42:36,64,98,66,71,12,13,87,79,86,100,65,62,45,5,36,17,82,82,19,75,58,86,53,75,32,67,23,8,30,19,66,19,43,34,17,45,18,70,13,63,27,68,43,66,22:50:15,true,true,11:39:19,2/28/2019,935,AM
Kelila,false,Asoka,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,839,134,1999,19,e4c613e7-14f0-4cfa-8ff7-07b7982ce1ac,11:06:14,Health,81,25,10,4,86,446,w-up,107,195,174,8:44:42,40,33,79,97,100,46,46,49,15,48,62,98,29,82,61,69,54,73,10,44,45,32,63,29,6,69,95,21,97,62,35,8,87,33,45,16,86,92,38,13,90,43,69,47,1:53:19,true,true,15:57:11,6/19/2012,993,PM
Costanza,false,Tempsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,746,895,169,5,ff29574d-f0ee-472c-85a0-54aaab8220ec,21:15:37,Electronics,3,17,2,2,1567,716,partijspel,151,68,122,0:28:05,23,88,29,89,61,18,39,40,97,53,56,53,32,42,67,43,58,42,94,65,73,93,90,46,75,24,19,20,51,7,20,25,60,40,75,10,65,6,45,30,92,2,93,92,7:44:34,false,true,6:18:50,9/25/2012,466,AM
Ag,false,Domainer,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,60,497,5554,5,56d5b4e4-490b-40c6-bc46-e5b68e8bf24a,20:51:06,Automotive,36,25,12,10,312,745,partijspel,112,658,192,11:59:09,96,66,57,69,15,29,99,98,39,51,82,5,77,45,42,84,92,94,51,73,75,97,3,30,100,61,84,14,56,31,85,88,96,55,57,45,81,12,25,96,76,33,88,13,4:31:50,false,true,5:22:17,5/15/2016,899,AM
Stacee,false,Zoolab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,486,889,1390,48,8ad7b41c-30b7-45c9-bc25-4130c6acca50,20:14:43,Tools,3,24,9,7,566,155,7,82,912,171,11:39:48,66,38,52,39,77,72,8,26,15,4,7,74,33,8,78,27,89,10,96,56,10,45,98,31,35,21,67,62,31,24,96,21,77,67,21,55,9,47,86,82,31,32,70,24,11:58:27,false,true,20:31:42,9/5/2017,88,PM
Petunia,true,Tampflex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,368,660,4106,13,64ae09bf-decf-4d68-aca5-5b0e15f6614e,13:32:18,Garden,61,14,17,14,1844,316,4,90,145,84,12:57:15,6,65,89,72,12,61,100,8,19,50,77,43,48,34,41,39,63,81,66,27,62,100,23,68,13,53,75,53,35,86,10,44,8,19,34,89,69,32,16,57,89,26,96,38,4:00:30,false,false,14:08:04,2/16/2016,794,PM
La verne,true,Stim,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,461,854,6152,33,23246f00-0185-4667-86ec-9f782eea2b3b,14:01:52,Sports,68,10,23,10,245,250,6,91,145,157,10:15:58,58,88,12,63,38,18,30,51,8,1,29,91,99,22,6,72,63,12,67,75,17,34,78,81,15,70,93,71,78,97,6,44,57,74,31,97,71,77,90,82,13,25,21,12,23:43:05,true,true,17:31:35,10/5/2013,246,PM
Emily,true,Zoolab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,557,947,2156,47,70af1757-f64e-40ae-8369-4eb3ded29589,22:36:54,Electronics,79,7,20,25,14,445,duels,81,175,112,4:29:24,14,69,98,5,13,76,87,63,22,74,28,73,99,31,69,51,10,100,64,99,49,100,10,94,30,73,7,24,80,68,30,66,52,94,13,89,53,25,15,59,42,44,19,56,13:51:07,true,true,5:05:45,11/29/2011,367,PM
Inger,true,Zamit,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,278,708,8898,41,a42b2a0d-331b-49f5-978c-4f3c98da8c98,10:40:44,Games,52,12,22,4,16,212,7,95,529,154,13:07:16,44,85,89,50,89,34,55,67,69,46,99,39,25,82,44,34,79,49,55,35,10,5,71,99,5,58,9,28,73,57,44,97,50,19,48,64,63,21,37,16,27,56,57,51,13:05:18,false,false,20:32:54,2/6/2020,410,PM
Dorie,false,Sonsing,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,969,672,3892,13,05545544-45bc-4ec1-889a-d3795a2ff651,12:51:25,Tools,48,6,23,13,1485,535,w-up,99,926,197,8:11:46,76,86,14,14,23,56,18,60,21,88,49,48,36,30,61,16,73,77,33,55,30,83,96,17,7,19,44,20,41,75,59,61,20,67,24,36,71,93,97,36,16,22,72,59,11:41:15,false,true,21:38:22,2/1/2011,693,PM
Elisha,true,Zathin,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,618,509,8359,24,38a33493-f998-471a-b849-d4d7dbd7bff8,7:09:50,Sports,26,12,8,16,733,941,duels,154,858,85,1:54:24,54,39,79,60,57,25,97,3,72,39,86,42,13,8,70,22,43,2,21,61,78,18,43,93,97,72,15,94,14,66,49,7,5,36,47,47,38,15,50,83,97,71,27,48,20:30:07,true,false,19:53:56,9/2/2014,799,PM
Svend,true,Voltsillam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,842,571,1228,48,d3e99c99-1b7c-4a07-a80a-f0d9a8345877,10:02:57,Music,38,7,2,19,1966,795,partijspel,136,409,178,9:42:31,4,12,16,66,41,49,23,87,51,23,41,45,65,49,75,80,82,29,22,99,32,88,70,27,81,76,48,34,82,51,56,68,51,40,26,2,91,26,30,39,32,70,97,44,12:22:31,false,false,3:09:35,3/21/2013,807,PM
Parry,false,Viva,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,761,519,8212,9,6d3f4690-adcf-47f7-8a00-8d8db7766b86,21:30:11,Automotive,45,10,17,7,692,646,7,102,72,184,1:32:07,40,3,69,23,92,42,42,18,21,70,29,66,44,16,36,45,75,58,34,8,78,86,81,21,59,53,45,47,10,71,5,27,11,5,6,23,92,6,37,91,8,7,38,75,14:21:11,true,false,12:25:34,7/9/2010,116,AM
Oralla,true,Toughjoyfax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,17,568,5868,43,045350d1-5e6e-4a8a-a428-6925ccc5dca9,4:21:52,Health,100,6,22,23,1194,170,positiespel,109,927,205,13:08:10,11,31,5,53,63,26,90,76,82,47,6,28,73,31,56,84,47,78,71,47,79,45,100,17,55,93,77,8,20,33,38,38,84,62,38,32,28,20,77,77,14,52,46,83,13:54:35,false,false,19:16:49,5/23/2013,706,PM
Perl,false,Bigtax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,458,433,3610,14,f38154cd-3896-42bf-9b56-b5706d9369f8,16:51:59,Industrial,59,25,13,8,493,501,partijspel,99,471,133,8:42:07,64,31,87,50,51,15,8,9,15,2,9,38,95,98,79,12,72,17,95,20,58,87,41,13,49,96,39,63,99,31,74,91,48,22,1,56,55,27,20,59,9,71,92,86,17:39:13,true,true,15:20:56,2/15/2014,949,AM
Fransisco,false,Cardify,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,213,900,2030,15,fa9b8020-aa96-4625-87d2-f19cd9766413,14:14:23,Outdoors,59,21,15,14,1794,26,duels,99,751,170,2:22:48,98,69,51,12,71,33,56,7,19,32,48,23,26,79,69,8,11,12,26,16,87,30,85,5,22,89,90,87,75,44,42,30,93,93,57,10,2,52,87,65,94,28,59,7,3:17:34,false,true,21:36:27,9/18/2011,644,AM
Jessalyn,false,Kanlam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,471,228,103,37,cff4a1cf-2cee-4c55-a02d-a968c99e2181,15:06:01,Toys,84,11,3,15,30,370,positiespel,154,491,133,8:17:48,58,51,40,43,70,1,74,99,44,78,1,13,68,42,29,66,56,80,14,59,56,4,6,17,57,42,99,17,26,20,73,63,54,40,93,96,18,49,61,66,60,11,15,44,13:06:02,true,false,1:47:23,1/22/2011,815,AM
Jonah,false,Konklux,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,101,721,8072,10,5d3f0403-d9df-4e1e-9e85-5925bba520a5,14:14:20,Music,36,21,23,21,923,467,positiespel,134,581,82,22:30:39,76,8,35,58,47,97,95,25,87,41,41,49,37,16,63,42,37,24,8,60,24,56,48,12,59,34,68,47,74,67,38,90,61,4,2,26,88,94,89,16,90,49,39,12,3:46:32,true,true,4:42:46,8/13/2014,239,AM
Jacky,false,Rank,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,932,272,2928,34,0db4bd70-8867-42c6-8dad-987f75b889a2,0:59:12,Computers,54,1,1,11,739,286,w-up,158,78,201,1:24:22,24,76,42,67,61,33,4,92,13,96,79,15,49,49,6,99,72,80,31,56,96,98,43,67,6,79,37,1,70,3,73,11,57,12,56,20,52,18,31,69,66,60,55,51,9:36:24,true,true,15:26:53,6/11/2018,42,PM
Griffie,true,Tresom,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,516,817,2042,1,5d2f2c05-93ed-43f2-bd7a-f4c592fb819e,8:01:56,Kids,34,16,23,4,1550,100,7,130,505,167,16:20:18,28,72,43,37,84,48,25,97,71,25,71,15,85,93,59,55,18,92,31,48,70,49,89,82,76,69,90,55,28,31,51,43,100,35,99,2,59,59,85,48,1,9,53,79,13:16:51,true,true,19:37:24,3/29/2020,168,AM
Carlie,false,Bytecard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,966,126,3690,17,79aa52bc-5818-41fd-bd22-aae9c5876e95,0:18:28,Jewelery,74,15,12,17,519,154,positiespel,106,254,172,17:22:08,44,81,37,53,71,70,7,65,11,33,95,22,77,55,50,34,38,41,86,24,28,29,25,26,71,32,65,36,52,100,81,5,54,46,12,16,73,76,3,79,64,67,73,12,19:30:12,true,false,0:02:20,12/10/2016,680,PM
Molli,false,Cardguard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,691,99,2435,19,d29fd55e-c691-4519-b5cb-60a16d99ce2e,19:08:47,Books,32,4,2,12,987,768,duels,110,839,199,15:50:47,66,11,72,76,97,68,41,60,100,13,47,78,78,77,2,50,98,39,71,50,39,48,39,49,85,40,89,26,89,50,78,8,79,93,97,41,60,55,94,92,23,6,4,2,22:39:49,false,false,20:51:36,4/17/2014,318,AM
Donn,false,Tresom,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,599,730,1529,6,b7b7febb-6c0c-432e-8ca6-3e0fd87c28ee,3:25:05,Music,33,8,19,5,297,917,4,133,140,179,5:47:03,76,16,48,83,7,8,36,26,68,1,52,23,98,37,57,79,44,18,18,17,91,33,38,75,55,58,80,8,25,34,71,90,23,60,95,66,79,52,66,79,97,57,4,39,14:14:00,false,false,13:23:28,5/20/2010,442,PM
Maryrose,true,Fintone,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,428,768,9418,32,f8499488-ec9b-4845-aedb-99170815c900,6:22:45,Computers,75,20,4,4,1028,636,partijspel,146,550,167,5:58:46,58,87,78,22,32,42,21,93,99,36,15,42,87,22,28,94,65,58,96,58,62,60,39,74,98,56,4,45,54,2,16,22,54,57,9,90,34,44,83,3,87,22,34,78,21:29:26,true,true,4:12:23,12/29/2018,587,AM
Frederik,false,Fintone,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,273,767,6453,13,3d77b160-4079-4688-857a-387e06115e0b,0:27:31,Movies,19,19,15,9,1810,458,6,91,748,88,14:07:16,73,33,39,10,89,8,8,67,25,39,48,16,49,10,72,77,19,95,29,100,87,96,15,61,48,21,81,80,62,74,15,45,7,88,14,79,65,71,99,76,40,72,39,43,10:53:48,false,false,4:36:02,10/28/2017,390,PM
Riordan,true,Namfix,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,556,329,3323,10,62a14ee1-7046-4571-874d-57749f59cd53,12:26:37,Games,59,3,8,5,212,575,duels,139,896,211,11:52:35,24,91,28,44,40,20,63,65,30,56,8,37,16,69,16,22,8,24,90,53,29,48,47,99,29,32,7,39,26,33,49,12,51,8,64,20,59,15,16,20,48,59,3,58,21:30:58,true,false,23:17:09,1/3/2012,985,AM
